n,country,year,int_travelers_trip,month,period,month_year
1,Russia,2007,4552,January,i,1/1/07
2,Russia,2008,6681,January,i,1/1/08
3,Russia,2009,7006,January,i,1/1/09
4,Russia,2010,9225,January,ii,1/1/10
5,Russia,2011,13224,January,ii,1/1/11
6,Russia,2012,17218,January,ii,1/1/12
7,Russia,2013,27806,January,ii,1/1/13
8,Russia,2014,43087,January,iii,1/1/14
9,Russia,2015,40192,January,iii,1/1/15
10,Russia,2016,44239,January,iii,1/1/16
11,Russia,2017,62075,January,iv,1/1/17
12,Russia,2018,71141,January,iv,1/1/18
13,Russia,2019,83310,January,iv,1/1/19
14,Russia,2020,89815,January,iv,1/1/20
15,Russia,2007,3433,February,i,2/1/07
16,Russia,2008,5597,February,i,2/1/08
17,Russia,2009,5326,February,i,2/1/09
18,Russia,2010,7127,February,ii,2/1/10
19,Russia,2011,9283,February,ii,2/1/11
20,Russia,2012,11555,February,ii,2/1/12
21,Russia,2013,27535,February,ii,2/1/13
22,Russia,2014,36093,February,iii,2/1/14
23,Russia,2015,34255,February,iii,2/1/15
24,Russia,2016,43149,February,iii,2/1/16
25,Russia,2017,56717,February,iv,2/1/17
26,Russia,2018,70430,February,iv,2/1/18
27,Russia,2019,81584,February,iv,2/1/19
28,Russia,2020,61900,February,iv,2/1/20
29,Russia,2007,4424,March,i,3/1/07
30,Russia,2008,6143,March,i,3/1/08
31,Russia,2009,6911,March,i,3/1/09
32,Russia,2010,8496,March,ii,3/1/10
33,Russia,2011,11225,March,ii,3/1/11
34,Russia,2012,17654,March,ii,3/1/12
35,Russia,2013,35794,March,ii,3/1/13
36,Russia,2014,49748,March,iii,3/1/14
37,Russia,2015,49601,March,iii,3/1/15
38,Russia,2016,57489,March,iii,3/1/16
39,Russia,2017,66832,March,iv,3/1/17
40,Russia,2018,91529,March,iv,3/1/18
41,Russia,2019,116772,March,iv,3/1/19
42,Russia,2020,32788,March,iv,3/1/20
43,Russia,2007,6891,April,i,4/1/07
44,Russia,2008,8828,April,i,4/1/08
45,Russia,2009,7197,April,i,4/1/09
46,Russia,2010,8993,April,ii,4/1/10
47,Russia,2011,14031,April,ii,4/1/11
48,Russia,2012,27767,April,ii,4/1/12
49,Russia,2013,41638,April,ii,4/1/13
50,Russia,2014,58919,April,iii,4/1/14
51,Russia,2015,58537,April,iii,4/1/15
52,Russia,2016,74251,April,iii,4/1/16
53,Russia,2017,86495,April,iv,4/1/17
54,Russia,2018,124062,April,iv,4/1/18
55,Russia,2019,155765,April,iv,4/1/19
56,Russia,2020,3496,April,iv,4/1/20
57,Russia,2007,5551,May,i,5/1/07
58,Russia,2008,9055,May,i,5/1/08
59,Russia,2009,7615,May,i,5/1/09
60,Russia,2010,9668,May,ii,5/1/10
61,Russia,2011,14994,May,ii,5/1/11
62,Russia,2012,29881,May,ii,5/1/12
63,Russia,2013,52690,May,ii,5/1/13
64,Russia,2014,50098,May,iii,5/1/14
65,Russia,2015,71407,May,iii,5/1/15
66,Russia,2016,84777,May,iii,5/1/16
67,Russia,2017,98983,May,iv,5/1/17
68,Russia,2018,116016,May,iv,5/1/18
69,Russia,2019,183602,May,iv,5/1/19
70,Russia,2020,3561,May,iv,5/1/20
71,Russia,2007,10681,June,i,6/1/07
72,Russia,2008,17806,June,i,6/1/08
73,Russia,2009,15563,June,i,6/1/09
74,Russia,2010,17750,June,ii,6/1/10
75,Russia,2011,25294,June,ii,6/1/11
76,Russia,2012,50573,June,ii,6/1/12
77,Russia,2013,76341,June,ii,6/1/13
78,Russia,2014,60833,June,iii,6/1/14
79,Russia,2015,89449,June,iii,6/1/15
80,Russia,2016,93771,June,iii,6/1/16
81,Russia,2017,135967,June,iv,6/1/17
82,Russia,2018,172052,June,iv,6/1/18
83,Russia,2019,212981,June,iv,6/1/19
84,Russia,2020,3433,June,iv,6/1/20
85,Russia,2007,13632,July,i,7/1/07
86,Russia,2008,22876,July,i,7/1/08
87,Russia,2009,20705,July,i,7/1/09
88,Russia,2010,26010,July,ii,7/1/10
89,Russia,2011,43679,July,ii,7/1/11
90,Russia,2012,84366,July,ii,7/1/12
91,Russia,2013,116067,July,ii,7/1/13
92,Russia,2014,131656,July,iii,7/1/14
93,Russia,2015,140413,July,iii,7/1/15
94,Russia,2016,136630,July,iii,7/1/16
95,Russia,2017,219145,July,iv,7/1/17
96,Russia,2018,247196,July,iv,7/1/18
97,Russia,2019,217454,July,iv,7/1/19
98,Russia,2020,5307,July,iv,7/1/20
99,Russia,2007,12080,August,i,8/1/07
100,Russia,2008,10234,August,i,8/1/08
101,Russia,2009,15376,August,i,8/1/09
102,Russia,2010,22389,August,ii,8/1/10
103,Russia,2011,44902,August,ii,8/1/11
104,Russia,2012,96717,August,ii,8/1/12
105,Russia,2013,139718,August,ii,8/1/13
106,Russia,2014,130042,August,iii,8/1/14
107,Russia,2015,160139,August,iii,8/1/15
108,Russia,2016,179364,August,iii,8/1/16
109,Russia,2017,229326,August,iv,8/1/17
110,Russia,2018,270019,August,iv,8/1/18
111,Russia,2019,252873,August,iv,8/1/19
112,Russia,2020,6256,August,iv,8/1/20
113,Russia,2007,8022,September,i,9/1/07
114,Russia,2008,4851,September,i,9/1/08
115,Russia,2009,10417,September,i,9/1/09
116,Russia,2010,13475,September,ii,9/1/10
117,Russia,2011,30148,September,ii,9/1/11
118,Russia,2012,56145,September,ii,9/1/12
119,Russia,2013,80016,September,ii,9/1/13
120,Russia,2014,80572,September,iii,9/1/14
121,Russia,2015,90720,September,iii,9/1/15
122,Russia,2016,119155,September,iii,9/1/16
123,Russia,2017,157331,September,iv,9/1/17
124,Russia,2018,198453,September,iv,9/1/18
125,Russia,2019,163333,September,iv,9/1/19
126,Russia,2007,7363,October,i,10/1/07
127,Russia,2008,6188,October,i,10/1/08
128,Russia,2009,10087,October,i,10/1/09
129,Russia,2010,13820,October,ii,10/1/10
130,Russia,2011,28956,October,ii,10/1/11
131,Russia,2012,48566,October,ii,10/1/12
132,Russia,2013,66553,October,ii,10/1/13
133,Russia,2014,67737,October,iii,10/1/14
134,Russia,2015,78080,October,iii,10/1/15
135,Russia,2016,88258,October,iii,10/1/16
136,Russia,2017,114983,October,iv,10/1/17
137,Russia,2018,149573,October,iv,10/1/18
138,Russia,2019,133584,October,iv,10/1/19
139,Russia,2007,5955,November,i,11/1/07
140,Russia,2008,6951,November,i,11/1/08
141,Russia,2009,9517,November,i,11/1/09
142,Russia,2010,17016,November,ii,11/1/10
143,Russia,2011,20595,November,ii,11/1/11
144,Russia,2012,39750,November,ii,11/1/12
145,Russia,2013,56015,November,ii,11/1/13
146,Russia,2014,51519,November,iii,11/1/14
147,Russia,2015,55216,November,iii,11/1/15
148,Russia,2016,60721,November,iii,11/1/16
149,Russia,2017,82117,November,iv,11/1/17
150,Russia,2018,99181,November,iv,11/1/18
151,Russia,2019,92428,November,iv,11/1/19
152,Russia,2007,8777,December,i,12/1/07
153,Russia,2008,9249,December,i,12/1/08
154,Russia,2009,12217,December,i,12/1/09
155,Russia,2010,16615,December,ii,12/1/10
156,Russia,2011,22127,December,ii,12/1/11
157,Russia,2012,33578,December,ii,12/1/12
158,Russia,2013,47222,December,ii,12/1/13
159,Russia,2014,53317,December,iii,12/1/14
160,Russia,2015,58135,December,iii,12/1/15
161,Russia,2016,56888,December,iii,12/1/16
162,Russia,2017,82717,December,iv,12/1/17
163,Russia,2018,95490,December,iv,12/1/18
164,Russia,2019,99290,December,iv,12/1/19